MeetingDate,MeetingVenue,RaceNo,Position,HorseNo,HorseName,JockeyName,WinOdds
2018-02-04,ST,8,2,7,TURIN REDSTAR,K C Leung,NULL
2018-02-04,ST,8,3,4,SLEEP EDUCATION,K Teetan,NULL
2018-02-04,ST,8,4,5,INFINITY ENDEAVOUR,J Moreira,NULL
2018-02-04,ST,9,1,2,IVICTORY,J Moreira,NULL
2018-02-04,ST,9,2,8,SUPER WISE,Z Purton,NULL
2018-02-04,ST,9,3,6,VICTORY MACHINE,M F Poon,NULL
2018-02-04,ST,9,4,3,WINSTON'S LAD,N Callan,NULL
2018-02-04,ST,10,1,13,SIR REDALOT,J Moreira,NULL
2018-02-04,ST,10,2,11,REGENCY BO BO,H T Mo,NULL
2018-02-04,ST,10,3,8,WORLD RECORD,A Badel,NULL
2018-02-04,ST,10,4,2,HAPPY AGILITY,M F Poon,NULL
2018-02-10,ST,1,3,1,GOLDEN DASH,Z Purton,3.80
2018-02-10,ST,1,4,13,HOT HOT PEPPER,A Badel,18.00
2018-02-10,ST,2,1,5,TANG FLEMING,H T Mo,11.00
2018-02-10,ST,2,2,10,TRAVEL FIRST,C Schofield,8.20
2018-02-10,ST,2,3,9,NUCLEAR POWER,M F Poon,7.00
2018-02-10,ST,2,4,2,BANK ON RED,U Rispoli,5.20
2018-02-10,ST,3,1,8,AGREE,T Berry,5.50
2018-02-10,ST,3,2,4,DIAMOND DRAGON,N Rawiller,9.60
2018-02-10,ST,3,3,11,GENERAL DINO,K C Leung,11.00
2018-02-10,ST,3,4,7,HO HO FEEL,K C Ng,35.00
2018-02-10,ST,4,1,12,STARTLING POWER,M L Yeung,24.00
2018-02-10,ST,4,2,7,ELITE BOY,T Berry,6.40
2018-02-10,ST,4,3,5,GOLDIE FLANKER,K C Leung,4.90
2018-02-10,ST,4,4,3,ELITE SPIRIT,N Callan,18.00
2018-02-10,ST,5,1,7,PLANET STAR,K C Leung,10.00
2018-02-10,ST,5,2,2,LUCKY TIME,Z Purton,2.90
2018-02-10,ST,5,3,5,NOBLE DE LOVE,N Rawiller,4.60
2018-02-10,ST,5,4,4,EMPIRE STAR,J Moreira,8.30
2018-02-10,ST,6,1,11,ELUSIVE STATE,C Schofield,6.00
2018-02-10,ST,6,2,7,KIROV,Z Purton,22.00
2018-02-10,ST,6,3,13,MI BLANCO,A Badel,5.60
2018-02-10,ST,6,4,10,DIAMOND FRIENDS,U Rispoli,5.20
2018-02-10,ST,7,1,6,CONTE,J Moreira,1.30
2018-02-10,ST,7,2,7,EASY GO EASY WIN,T Berry,5.80
2018-02-10,ST,7,3,4,LOCKHEED,A Badel,12.00
2018-02-10,ST,7,4,5,SPICY SURE,H T Mo,25.00
2018-02-10,ST,8,1,1,APOLLO'S CHOICE,Z Purton,2.70
2018-02-10,ST,8,2,9,ROYAL MOJITO,H T Mo,3.50
2018-02-10,ST,8,3,10,ENERGETIC CLASS,A Badel,9.60
2018-02-21,HV,6,2,3,HOUSE OF FUN,N Rawiller,5.40
2018-02-25,ST,1,1,13,WINNER ST PAUL'S,M L Yeung,3.80
2018-02-25,ST,1,2,9,BEAUT BEAUT,N Callan,3.70
2018-02-25,ST,1,3,2,BOSSIEE,A Sanna,10.00
2018-02-25,ST,1,4,1,FLYING LOVER,M F Poon,53.00
2018-02-25,ST,2,1,1,EASTERN EXPRESS,J Moreira,5.30
2018-02-25,ST,2,2,7,RISE HIGH,M L Yeung,9.00
2018-02-25,ST,2,3,6,SPICY SURE,K Teetan,10.00
2018-02-25,ST,2,4,2,EASY GO EASY WIN,T Berry,1.80
2018-02-25,ST,3,1,12,HALL OF FAME,M F Poon,39.00
2018-02-25,ST,3,2,5,FORTUNE GIGGLES,N Rawiller,16.00
2018-02-25,ST,3,3,6,GOLDEN KID,A Sanna,14.00
2018-02-25,ST,3,4,8,SWEET BEAN,J Moreira,5.70
2018-02-25,ST,4,1,2,HANDSOME BO BO,Z Purton,3.50
2018-02-25,ST,4,2,13,BINGO,J Moreira,4.10
2018-02-25,ST,4,3,9,FRESH POWER,K Teetan,11.00
2018-02-25,ST,4,4,1,GOLDEN DASH,H T Mo,5.60
2018-02-25,ST,5,1,12,LEAN PERFECTION,Z Purton,1.50
2018-02-25,ST,5,2,13,EXCEPTIONAL DESIRE,H N Wong,38.00
2018-02-25,ST,5,3,3,BIG FORTUNE,G Mosse,97.00
2018-02-25,ST,5,4,2,GAMECHANGERS,B Prebble,8.90
2018-02-25,ST,6,2,11,ROYALE ELEGANCE,B Prebble,8.00
2018-02-25,ST,6,3,12,AMBITIOUS PINS,K Teetan,16.00
2018-02-25,ST,6,4,1,SMILING CHARM,N Rawiller,5.90
2018-02-25,ST,7,1,5,MARQULA,O Doleuze,11.00
