MeetinDate,MeetingVenue,RaceNo,PoolText,WinCombination,DividendAmount
2018-02-25,ST,5,1st Double Trio,"2, 9, 13/3, 12, 13",178050.0000
2018-02-25,ST,6,Win,10,378.5000
2018-02-25,ST,6,Place,10,89.5000
2018-02-25,ST,6,Place,11,27.0000
2018-02-25,ST,6,Place,12,44.0000
2018-02-25,ST,6,Quinella,"10, 11",1954.5000
2018-02-25,ST,6,Quinella Place,"10, 11",524.5000
2018-02-25,ST,6,Quinella Place,"10, 12",831.0000
2018-02-25,ST,6,Quinella Place,"11, 12",228.0000
2018-02-25,ST,6,3 Pick 1,"4, 6",0.0000
2018-02-25,ST,6,3 Pick 1,"5, 8, 14",0.0000
2018-02-25,ST,6,3 Pick 1,"1, 2, 3, 7, 9, 10, 11, 12, 13",18.5000
2018-02-25,ST,6,Tierce,"10, 11, 12",32615.0000
2018-02-25,ST,6,Trio,"10, 11, 12",5503.0000
2018-02-25,ST,6,First 4,"1, 10, 11, 12",12216.0000
2018-02-25,ST,6,Quartet,"10, 11, 12, 1",294640.0000
2018-02-25,ST,6,5th Double,12/10,711.5000
2018-02-25,ST,6,5th Double (Consolation),12/11,42.0000
2018-02-25,ST,7,Win,5,113.5000
2018-02-25,ST,7,Place,5,34.5000
2018-02-25,ST,7,Place,9,51.5000
2018-02-25,ST,7,Place,6,39.5000
2018-02-25,ST,7,Quinella,"5, 9",837.5000
2018-02-25,ST,7,Quinella Place,"5, 9",273.5000
2018-02-25,ST,7,Quinella Place,"5, 6",176.5000
2018-02-25,ST,7,Quinella Place,"6, 9",325.5000
2018-02-25,ST,7,3 Pick 1,"5, 8",51.0000
2018-02-25,ST,7,3 Pick 1,"2, 3, 4",0.0000
2018-02-25,ST,7,3 Pick 1,"1, 6, 7, 9, 10, 11, 12, 13, 14",0.0000
2018-02-25,ST,7,Tierce,"5, 9, 6",15475.0000
2018-02-25,ST,7,Trio,"5, 6, 9",3180.0000
2018-02-25,ST,7,First 4,"3, 5, 6, 9",4475.0000
2018-02-25,ST,7,Quartet,"5, 9, 6, 3",127092.0000
2018-02-25,ST,7,6th Double,10/5,4907.5000
2018-02-25,ST,7,6th Double (Consolation),10/9,914.0000
2018-02-25,ST,7,Triple Trio (Consolation),"3, 12, 13/F/F",799.0000
2018-02-25,ST,8,Win,1,30.5000
2018-02-25,ST,8,Place,1,13.5000
2018-02-25,ST,8,Place,2,10.5000
2018-02-25,ST,8,Place,4,25.0000
2018-02-25,ST,8,Quinella,"1, 2",36.0000
2018-02-25,ST,8,Quinella Place,"1, 2",17.0000
2018-02-25,ST,8,Quinella Place,"1, 4",37.5000
2018-02-25,ST,8,Quinella Place,"2, 4",32.5000
2018-02-25,ST,8,3 Pick 1,"1, 2",14.5000
2018-02-25,ST,8,3 Pick 1,"3, 4, 7",0.0000
